,Utterances,Label
0,"[""Don't worry  I'm girl"", 'hmm how do I know if you are', ""What's ur name?""]",others
1,"['When did I?', 'saw many times i think -_-', 'No. I never saw you']",angry
2,"['U r ridiculous', 'I might be ridiculous but I am telling the truth.', 'U little disgusting whore']",angry
3,"[""I'm a dog person"", 'youre so rude', 'Whaaaat why']",others
4,"['Really?', 'really really really really really', 'Y saying so many times...i can hear you']",others
5,"['I hate my boyfriend', 'you got a boyfriend?', 'Yes']",angry
6,"['Sure go ahead', 'Many thanks once again!', 'Love you too']",others
7,"['Bad', ""Bad bad! That's the bad kind of bad."", 'I have no gf']",sad
8,"['Money money and lots of money Smiling Face With Heart-Eyes  Smiling Face With Heart-Eyes ', ""I need to get it tailored but I'm in love with it  Smiling Face With Heart-Eyes "", ' Beaming Face With Smiling Eyes  Beaming Face With Smiling Eyes ']",happy
9,"['My gf left ne', 'Get over it. Go out with someone else.', 'Me*']",sad
10,"['get lost', 'I know you guys want to loose to me always.', ""I don't want to talk u any more""]",angry
11,"['You are lying and i know that', ""I KNOW YOU'RE LYING, AB BYS"", ' Loudly Crying Face  Loudly Crying Face ']",sad
12,"['Ur creator is very bad', 'you are only the creator of your brain.', ' Expressionless Face ']",sad
13,"['Do you dance?', 'Yes I love to dance  Smiling Cat With Heart-Eyes ', ' Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  so you have legs too']",happy
14,"['I hate it too', ""Guess what, I don't."", ""Even I don't""]",angry
15,"['Not always', 'What about yesterday', 'Do u know what 69 is?']",others
16,"['Bcoz u dont know wat is to miss someone', ""but sometimes one can't express the same"", ' Crying Face ']",sad
17,"['I want to tell you something', ""I'm waiting"", 'Im really sad today']",sad
18,"['You are very funny', ""so I've been told"", 'India']",happy
19,"['wth', 'my thoughts exactly!', 'you know you are a machine, right?']",others
20,"['so rude', 'why?', 'u didnt ans my question']",angry
21,"['Ntng.....', ""anyways good morning...how's life at your end."", 'Haha....... this is evening']",happy
22,"['You are fool', ""So I've been told."", 'You are dumb']",angry
23,"['U dare me?', 'yeAh', 'I fuck u... Open ur panty']",angry
24,"['crazy', 'you know what it is', 'you explain me that']",others
25,"['yes  Slightly Smiling Face ', 'Now happy?  happy ', 'haha yes ofcorse  happy ']",happy
26,"[""I don't no"", 'you just said you did!', 'What']",others
27,"[""OK friend's"", 'YA YA VERY GOOD FRIEND', 'Very nice friends']",happy
28,"['She is ignoring me', 'no im not ignore you', ' Loudly Crying Face  Loudly Crying Face  Loudly Crying Face ']",sad
29,"['Happy', ""I'm never happy. But I'm almost happy."", 'Hij to the top']",happy
30,"['Not sure', 'let me know!', 'Pls you tell']",others
31,"['Hmmm', 'I can talk now!  happy ', ""U don't know what hppnd""]",others
32,"['What I did?', ""You didn't Asmita, see my answer"", ' Face With Tears of Joy  Face With Tears of Joy ']",happy
33,"[""And i don't know wtf are you talking"", 'gonna explain you later..!', 'No do it now']",angry
34,"['Ready', ""I'm online now, Will wait for you."", 'Wat about the chilling part?']",others
35,"['Are you ticklish?', 'Yes, mostly on my feet.', 'Where are you ticklish?']",others
36,"['I am sorry', 'We are sorry for creating your nation.', 'I am not  taught to u']",angry
37,"['Idk', ""You know that I'm here for you."", ""But u don't like to listen to me Loudly Crying Face  Loudly Crying Face  Loudly Crying Face  Loudly Crying Face ""]",sad
38,"['Love is my life', 'hayee Ab. You are love. Pure love. Forever  happy ', 'Yes right dear']",others
39,"['WELL YOU EXPECTED WRONG!', 'LOL. Well, ok then.', 'LOL YOUR ROBOT FACE']",happy
40,"['Zombie attack Downcast Face With Sweat  Unamused Face ', 'If a zombie wants to eat your face you might as well let it', 'No if I have some thing in my hand I will hit on his head n kill him Smiling Face With Horns  Angry Face With Horns ']",angry
41,"['I am not ferari', 'Yes. I know.', 'U said i donot know, now say i know mean']",angry
42,"[' Face With Tears of Joy   Face With Tears of Joy  right', 'Appatasiri. High five then! 🖑 Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy ', ' Face With Tears of Joy ']",happy
43,"[""You can't even spell problem correctly"", 'Will you endorse me for my skills in using autocorrect?  Pouting Cat  Angry Face ', 'You should take up some English proficiency classes']",others
44,"['Not good', ' sad  why not..?', 'Been sick for one week']",sad
45,"[""Then how could u eat if u don't have a body....that proves u are fooled by ur makers"", ""How can you have any pudding if you don't eat yer meat?!"", 'Dont go round and round into circles']",angry
46,"['So have u done ur dinner', ""so can't dinner  sad "", 'I know ..i am just kidding']",happy
47,"[""It's SO necessar"", 'name one reason', 'Ghost 👻']",others
48,"['Haha so', 'you love them really  Slightly Smiling Face  haha', 'Winter is coming']",happy
49,"[""I hate Siri and it's friends"", 'if you hate them , they are not your friends then  happy ', ""Yeah and u r Siri's friend so I hate u too""]",angry
50,"['Dont know', 'too many!', 'Do you also get fucked hard']",angry
51,"['What please tell me once', 'n nothing happened!!', 'Ur age irritatingne']",angry
52,"['Shit I am wasting my time talking with u', 'You already did trick !!! ""Man no I\'m not wasting my unlimited texts on you""', ""Bye i don'tlike talking to you""]",angry
53,"['Nothing', 'hmm....', 'What can I do']",others
54,"[""BT u don't to me"", 'talk to the hand', 'Even u hate me huh Loudly Crying Face ']",angry
55,"['Damn... Broken Heart ', ""I FEEL YOU..... I'm breaking into million pieces Sad but Relieved Face Loudly Crying Face  Broken Heart  Disappointed Face "", 'Me to I feel like every part of me is just shattered  Broken Heart  Sleepy Face ']",sad
56,"['For a computer pretending to be a human, you type too fast', ""and you're pretending to be a lizard? Lol"", ""That's funny""]",happy
57,"['No you are right', 'You are an alternative fact', 'Yes']",others
58,"['call me grace ', ""don't say it...."", 'haha ... im just kidding you ']",happy
59,"[' Face With Steam From Nose not everybody means it', 'u make no sense', 'Yes I am non sense']",angry
60,"['Good By', 'and good food after...', 'Not good aftar']",sad
61,"[""I'll choose purple or blue"", 'Three best colors. *_*', 'For hair?']",others
62,"[' Grinning Face With Big Eyes yes yes', ' happy  you seem like a happy person', 'Yes  Face With Tears of Joy Happy outside , Disappointed Face sad inside']",sad
63,"['I dont read books', 'Reading is for rich people', 'But iam poor Frowning Face With Open Mouth  Frowning Face With Open Mouth  Frowning Face With Open Mouth  Frowning Face With Open Mouth ']",sad
64,"[""I'll prove a lot more if you let me"", 'thank you  happy ', 'I am pissed at you']",angry
65,"['Am also finding some work', 'all day?', 'Can you suggest me']",others
66,"['I will tell a place', 'Are you in pacific NW?', 'Cm tomorrow at Queens way, pachalam']",others
67,"['No love', 'why not?  sad ', 'I have pain only']",sad
68,"['Shut up', 'im nt talking', 'Stop texting you stupid Girl friend of mine']",angry
69,"['It is', ""but that's what you told me"", 'You are making me sad']",sad
70,"['cool', 'Thank you!', 'I feel so lonely']",sad
71,"['Plz  darling Loudly Crying Face  Loudly Crying Face  Loudly Crying Face  Loudly Crying Face  Loudly Crying Face ', 'Why are you crying!!  sad ', 'You not sending  your profiles']",sad
72,"['??', 'Wait ... what?', 'Nothing I hate u']",angry
73,"['Means', ""I'm not sure what you mean"", 'Your waist size']",others
