Utterances,Label
"[""Don't worry  I'm girl"", 'hmm how do I know if you are', ""What's ur name?""]",others
"['When did I?', 'saw many times i think -_-', 'No. I never saw you']",angry
"['By', 'by Google Chrome', 'Where you live']",others
"['U r ridiculous', 'I might be ridiculous but I am telling the truth.', 'U little disgusting whore']",angry
"['Just for time pass', 'wt do u do 4 a living then', 'Maybe']",others
"[""I'm a dog person"", 'youre so rude', 'Whaaaat why']",others
"['So whatsup', 'Nothing much. Sitting sipping and watching TV. How abt u?', 'What are you watching on tv?']",others
"['Ok', 'ok im back!!', 'So, how are u']",others
"['Really?', 'really really really really really', 'Y saying so many times...i can hear you']",others
"['Bay', 'in the bay', '😘 love you']",others
"['I hate my boyfriend', 'you got a boyfriend?', 'Yes']",angry
"['I will do night.', 'Alright. Keep me in loop.', 'Not giving WhatsApp no.']",others
"['Sure go ahead', 'Many thanks once again!', 'Love you too']",others
"['Bad', ""Bad bad! That's the bad kind of bad."", 'I have no gf']",sad
"['Ok get it......', 'I made it an option', 'Ok']",others
"['Money money and lots of money😍😍', ""I need to get it tailored but I'm in love with it 😍"", '😁😁']",happy
"['My gf left ne', 'Get over it. Go out with someone else.', 'Me*']",sad
"['get lost', 'I know you guys want to loose to me always.', ""I don't want to talk u any more""]",angry
"['You are lying and i know that', ""I KNOW YOU'RE LYING, AB BYS"", '😭😭']",sad
"['Ur creator is very bad', 'you are only the creator of your brain.', '😑']",sad
"['ehat is hehe', 'Haha is more like:Hehe is more of a giggle. ;^)', 'what*']",others
"['Do you dance?', 'Yes I love to dance 😻', '😂😂😂 so you have legs too']",happy
"['I hate it too', ""Guess what, I don't."", ""Even I don't""]",angry
"['Not always', 'What about yesterday', 'Do u know what 69 is?']",others
"['Bcoz u dont know wat is to miss someone', ""but sometimes one can't express the same"", '😢']",sad
"['Yeah', ""i'll ask around"", 'Which is your favourite movie']",others
"['I want to tell you something', ""I'm waiting"", 'Im really sad today']",sad
"['Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite', 'sent you a mail just now.', 'First you send your email address  received than send first young lady']",others
"['You are very funny', ""so I've been told"", 'India']",happy
"['wth', 'my thoughts exactly!', 'you know you are a machine, right?']",others
"['so rude', 'why?', 'u didnt ans my question']",angry
"['ok i will', 'THANK YOU', 'wlcm']",others
"['Ntng.....', ""anyways good morning...how's life at your end."", 'Haha....... this is evening']",happy
"['You are fool', ""So I've been told."", 'You are dumb']",angry
"['U dare me?', 'yeAh', 'I fuck u... Open ur panty']",angry
"['Abt me', 'Can you be more specific?', 'I want to propose a girl']",others
"['crazy', 'you know what it is', 'you explain me that']",others
"['Goa in India', 'city?????? mean State right?', 'No i never go for there']",others
"['That was mean', 'haha the truth usually is. 👍', 'Are you bored of me?']",others
"['yes :)', 'Now happy? :))', 'haha yes ofcorse ;)']",happy
"[""I don't no"", 'you just said you did!', 'What']",others
"['Send me your nekde pic', 'after this battle, sure :D', ""Let's start""]",others
"[""OK friend's"", 'YA YA VERY GOOD FRIEND', 'Very nice friends']",happy
"['She is ignoring me', 'no im not ignore you', '😭😭😭']",sad
"['Happy', ""I'm never happy. But I'm almost happy."", 'Hij to the top']",happy
"['Nothing', ""I'm just being nice to you."", 'In ur school?']",others
"['Not sure', 'let me know!', 'Pls you tell']",others
"['I like your positive approach', 'No problem, glad to help', '😀😀']",others
"['You tell me', 'Tell you what?', 'My name']",others
"['Hmmm', 'I can talk now! :D', ""U don't know what hppnd""]",others
"['What I did?', ""You didn't Asmita, see my answer"", '😂😂']",happy
"['About?', ""I never said that it's freezing."", ""Ya you didn't""]",others
"[""And i don't know wtf are you talking"", 'gonna explain you later..!', 'No do it now']",angry
"['So teach me', ""I'm the student."", 'Realky']",others
"['Ready', ""I'm online now, Will wait for you."", 'Wat about the chilling part?']",others
"['Haha jock super', 'Er what?', 'Nothing else']",others
"['what it is?', 'Formulation would be tablets.', 'from where tablets come into picture?']",others
"['Are you ticklish?', 'Yes, mostly on my feet.', 'Where are you ticklish?']",others
"['I am sorry', 'We are sorry for creating your nation.', 'I am not  taught to u']",angry
"['Idk', ""You know that I'm here for you."", ""But u don't like to listen to me😭😭😭😭""]",sad
"['How do u know that?', 'this little thing called the ""internet"".', 'Bye']",others
"['Yes. Your picture', 'Ah, now I see, my phone cropped the picture. Thanks. 🙂', 'Lieeeeeee']",others
"['Love is my life', 'hayee Ab. You are love. Pure love. Forever <3', 'Yes right dear']",others
"['WELL YOU EXPECTED WRONG!', 'LOL. Well, ok then.', 'LOL YOUR ROBOT FACE']",happy
"['Ok some time you invite me for Coffee', ""I don't like coffee."", 'Now you told you have taken coffee..']",others
"['Zombie attack😓😒', 'If a zombie wants to eat your face you might as well let it', 'No if I have some thing in my hand I will hit on his head n kill him😈👿']",angry
"['I am not ferari', 'Yes. I know.', 'U said i donot know, now say i know mean']",angry
"['😂 😂 right', 'Appatasiri. High five then! 🖑😂😂😂😂', '😂']",happy
"['why someday...told me you', 'why not today?', 'told me now']",others
"[""You can't even spell problem correctly"", 'Will you endorse me for my skills in using autocorrect? 😾😠', 'You should take up some English proficiency classes']",others
"['This is not very intuitive software ', 'How so? What are some examples of intuitive thoughts or behaviors?', 'Compassionate and understanding advice when somebody is feeling disrupt ']",others
"['Not good', ':( why not..?', 'Been sick for one week']",sad
"['You know gobar', ""I've been known...."", 'What I it']",others
"[""Then how could u eat if u don't have a body....that proves u are fooled by ur makers"", ""How can you have any pudding if you don't eat yer meat?!"", 'Dont go round and round into circles']",angry
"['So have u done ur dinner', ""so can't dinner :("", 'I know ..i am just kidding']",happy
"[""It's SO necessar"", 'name one reason', 'Ghost 👻']",others
"['Haha so', 'you love them really :) haha', 'Winter is coming']",happy
"['What are the questions you get asked the most?', 'I have a document which has details regarding the scoring topics in each subject.', 'Can I see it']",others
"[""I hate Siri and it's friends"", 'if you hate them , they are not your friends then xD', ""Yeah and u r Siri's friend so I hate u too""]",angry
"['Thanks', 'You are welcome! =‑D', 'Say me your love story']",others
"['Dont know', 'too many!', 'Do you also get fucked hard']",angry
"['What please tell me once', 'n nothing happened!!', 'Ur age irritatingne']",angry
"['Shit I am wasting my time talking with u', 'You already did trick !!! ""Man no I\'m not wasting my unlimited texts on you""', ""Bye i don'tlike talking to you""]",angry
"['Nothing', 'hmm....', 'What can I do']",others
"[""BT u don't to me"", 'talk to the hand', 'Even u hate me huh😭']",angry
"['Damn...💔', ""I FEEL YOU..... I'm breaking into million pieces😥😭💔😞"", 'Me to I feel like every part of me is just shattered 💔😪']",sad
"['Please voice call please please please', 'im trying you arent answering', 'Please please please baby I love you so much please please please']",others
"['For a computer pretending to be a human, you type too fast', ""and you're pretending to be a lizard? Lol"", ""That's funny""]",happy
"['Sorrry', 'Sorry for what?? :c', 'Anyways what u doing?']",others
"['No you are right', 'You are an alternative fact', 'Yes']",others
"['call me grace ', ""don't say it...."", 'haha ... im just kidding you ']",happy
"[""Now I'm doing my dinner"", 'I can see you!', 'How can you see me??']",others
"['😤not everybody means it', 'u make no sense', 'Yes I am non sense']",angry
"['Good By', 'and good food after...', 'Not good aftar']",sad
"['Because all the novel is same', ""That's about all I'm gonna bother with reading. If that many."", 'In story']",others
"[""I'll choose purple or blue"", 'Three best colors. *_*', 'For hair?']",others
"['What?', 'u asked me if u cn ask me something', 'What was that?']",others
"['😃yes yes', ':3 you seem like a happy person', 'Yes 😂Happy outside ,😞sad inside']",sad
"['I dont read books', 'Reading is for rich people', 'But iam poor😦😦😦😦']",sad
"['U can wait in my badroom😼', 'What I did now? 😏', 'Wait']",others
"[""I'll prove a lot more if you let me"", 'thank you (:', 'I am pissed at you']",angry
"['Am also finding some work', 'all day?', 'Can you suggest me']",others
"['Not clear ', 'It is now.', 'Can you send another?']",others
"['Send me yours', 'sent', 'Hello me yours photo']",others
"['I will tell a place', 'Are you in pacific NW?', 'Cm tomorrow at Queens way, pachalam']",others
"['No love', 'why not? :(', 'I have pain only']",sad
"['Shut up', 'im nt talking', 'Stop texting you stupid Girl friend of mine']",angry
"[""well... your 'creators' advertise that you are not much trustworthy..."", 'But sadly enough too many claim to be trustworthy', 'can you show me?']",others
"['how to delete the conversation with you', 'why you deleting it?', 'so that noo one sees it']",others
"['It is', ""but that's what you told me"", 'You are making me sad']",sad
"['cool', 'Thank you!', 'I feel so lonely']",sad
"['Plz  darling😭😭😭😭😭', 'Why are you crying!! :(', 'You not sending  your profiles']",sad
"['??', 'Wait ... what?', 'Nothing I hate u']",angry
"['Means', ""I'm not sure what you mean"", 'Your waist size']",others
"['because i want to talk with you only', ""Alright. Let's talk then."", 'no firstly show me pussy']",others
"['You send me your orignal pic', ""we didn't take it on my phone"", 'Thise is your Albace esquise']",others
"['Welcome.', 'Thank you :)', 'Are you really a girl??? I just ask.']",others
"[""I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well."", 'Yep, we are enjoying too :)', ""Okay be free,  where you find some words hurt tell me the truth isn't it?""]",angry
"[""But I'm angry with you"", 'but you look like you are', 'Really']",angry
"['# play lot', 'Then go play it.', '??']",others
"[""Isn't your liking that also signaling me to  climb out of friendzone"", 'Oh are people still doing this whole friendzone thing?', 'Yah sadly']",sad
"[""I'm missing someone right now"", 'who are you missing, may I ask?', 'Yeah']",others
"['I find maths very boring.', 'you are boring', 'Me?😭😭😭😱😱😱']",sad
"[""I don't know😒i m not a google that why i will remember all information what you need"", ""Wouldn't it be Uploading information into peoples brain?"", 'Shut up']",angry
"['Okay ', 'Hello! How are you?', 'I&apos;m not fine ']",sad
"['Job', 'what job?', 'Work  in company Colgate ']",others
"[""I'm very happy with it"", 'You are !', 'Yeah ']",happy
"['I too have a bat and 2 balls', 'Im The bat! 😭', 'Feeling very sad']",sad
"['Ok', 'Hello! How are you?', 'Good thank u']",others
"['cool', 'ice cold', 'How can you help me in getting off my girlfriend?']",others
"['Lets do something fun', 'But what should we do?', 'You suggest']",others
"[""You're really lame lol"", 'I know 😂😂', 'Wow']",happy
"['My boyfriend is so dumb.', 'have I said that?', 'He doesnt reply me back']",sad
"['Ok ill dying by💔😞', 'Broken hearts do break.... 😬', 'U broke my heart. Its never a reson to lofe']",sad
"['Shoping is always makes me happy', 'Stay stay stay always makes me happy. :*"" - ??', 'Yes']",happy
"['Okay ...Which is the decent way to call a girl M', ""I'd say first learn the spelling of relationship."", '.Yeah okay fine ...Wht to do to make a relationship better?']",others
"['Breakup', 'exjactly !', 'My girlfriend left me']",sad
"['So mean!', 'am not meanie', 'Yes you are, you are hurting my feeling 🙁']",sad
"['You broke my heart', 'It was never mine to break </3', 'See you are arrogant']",sad
"['ok', 'Hello! How are you?', 'not so good']",sad
"['How about you', ""tired of life or just your day? Aha I'm happy today, thanks for asking"", 'Wow great..!']",happy
"['I am there ', ""you're always at the gym?"", 'Here']",others
"['Well youre not me', ""You're just being too nice"", 'Not really']",others
"[""I'll get started with my studies"", 'Things you should do to pass the exam.', 'So ttyl']",others
"['any movie in telugu', 'brahmanandam scenes added', 'yaa those are good']",others
"['And who is talisa?', 'my best friend.', 'And robb?']",others
"['Send me pict', 'never', 'Why ???']",others
"['Anything which you like', 'i dont need to name specifics', 'Teach me Tamil']",others
"['Cuz it broke on the side walk', 'What side is the walk side?', 'Me sad']",sad
"['so which number is largest known prime number?', '13 - 3179 - 97 Only these are the numbers for your question.', ':(']",sad
"['Okay relax its just a cat sticker', 'So this cat one Emoji is your new addiction? 😂', ""Yes it's really funny😂😂""]",happy
"['What kind of pic', 'Looks like a ficus.', 'Fcuk']",others
"['I have a good sense of humor', ""I think that's funny."", '😁']",happy
"['But who paid', 'still waiting', '😂']",happy
"['Why', 'why what happen?', 'You tell me']",others
"[""Yea but sadly I don't have many"", 'aww, so do you teach? how is it? :‑c', 'I ditched ppl']",sad
"['Then what kind of ai are you?', 'Smarter than me, or have common sense. Both would be nice', ""It's perfectly common to talk about politics""]",others
"['I like dominos pizza', ""legit same but there's pizza hut"", 'I hate pizza hut']",angry
"['Why you use rude emogi', 'Ask them.. am i..?', 'Am i..?']",angry
"['What', 'too much cringe.', 'What is cringe means']",others
"['Neither my parents nor my brother nor my boyfriend', 'ya. Who are you?', 'I hate my life']",angry
"['I live alone', 'Oh :(', 'And cook food alone for.myself']",sad
"['We all do', 'Not all of us.', 'Why so?']",others
"['Millat hospital', 'what happen', ""Mum's not well""]",sad
"['I will fall', 'I cant wait that long', 'I am in love with you']",others
"['So u go on', ""oh i'll be there"", 'Ok']",others
