Utterances,Label
"[ "" do not worry i am girl "" , ' hmm how do i know if you are ' , "" what ' s ur name ? "" ]",others
"[ ' when did i ? ' , ' saw many times i think -_- ' , ' no . i never saw you ' ]",angry
"[ ' by ' , ' by google chrome ' , ' where you live ' ]",others
"[ ' u r ridiculous ' , ' i might be ridiculous but i am telling the truth . ' , ' u little disgusting whore ' ]",angry
"[ ' just for time pass ' , ' wt do u do <number> a living then ' , ' maybe ' ]",others
"[ "" i am a dog person "" , ' youre so rude ' , ' what <elongated> why ' ]",others
"[ ' so whatsup ' , ' nothing much . sitting sipping and watching tv . how abt u ? ' , ' what are you watching on tv ? ' ]",others
"[ ' ok ' , ' ok im back ! <repeated> ' , ' so , how are u ' ]",others
"[ ' really ? ' , ' really really really really really ' , ' y saying so many times . <repeated> i can hear you ' ]",others
"[ ' bay ' , ' in the bay ' , ' : kissing_heart : love you ' ]",others
"[ ' i hate my boyfriend ' , ' you got a boyfriend ? ' , ' yes ' ]",angry
"[ ' i will do night . ' , ' alright . keep me in loop . ' , ' not giving whatsapp no . ' ]",others
"[ ' sure go ahead ' , ' many thanks once again ! ' , ' love you too ' ]",others
"[ ' bad ' , "" bad bad ! that ' s the bad kind of bad . "" , ' i have no gf ' ]",sad
"[ ' ok get it . <repeated> ' , ' i made it an option ' , ' ok ' ]",others
"[ ' money money and lots of money : heart_eyes : : heart_eyes :', "" i need to get it tailored but i am in love with it : heart_eyes :"", ' : grin : : grin :']",happy
"[ ' my gf left ne ' , ' get over it . go out with someone else . ' , ' me *']",sad
"[ ' get lost ' , ' i know you guys want to loose to me always . ' , "" i do not want to talk u any more "" ]",angry
"[ ' you are lying and i know that ' , "" <allcaps> i know you </allcaps> ' <allcaps> re lying </allcaps> , <allcaps> ab bys </allcaps> "" , ' : sob : : sob :']",sad
"[ ' ur creator is very bad ' , ' you are only the creator of your brain . ' , ' : expressionless :']",sad
"[ ' ehat is hehe ' , ' haha is more like : hehe is more of a giggle . <wink> ' , ' what *']",others
"[ ' do you dance ? ' , ' yes i love to dance : heart_eyes_cat :', ' : joy : : joy : : joy : so you have legs too ' ]",happy
"[ ' i hate it too ' , "" guess what , i do not . "" , "" even i do not "" ]",angry
"[ ' not always ' , ' what about yesterday ' , ' do u know what <number> is ? ' ]",others
"[ ' bcoz u dont know wat is to miss someone ' , "" but sometimes one can not express the same "" , ' : cry :']",sad
"[ ' yeah ' , "" i will ask around "" , ' which is your favourite movie ' ]",others
"[ ' i want to tell you something ' , "" i am waiting "" , ' im really sad today ' ]",sad
"[ ' yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite ' , ' sent you a mail just now . ' , ' first you send your email address received than send first young lady ' ]",others
"[ ' you are very funny ' , "" so i have been told "" , ' india ' ]",happy
"[ ' wth ' , ' my thoughts exactly ! ' , ' you know you are a machine , right ? ' ]",others
"[ ' so rude ' , ' why ? ' , ' u didnt ans my question ' ]",angry
"[ ' ok i will ' , ' <allcaps> thank you </allcaps> ' , ' wlcm ' ]",others
"[ ' ntng . <repeated> ' , "" anyways good morning . <repeated> how ' s life at your end . "" , ' haha . <repeated> this is evening ' ]",happy
"[ ' you are fool ' , "" so i have been told . "" , ' you are dumb ' ]",angry
"[ ' u dare me ? ' , ' yeah ' , ' i fuck u . <repeated> open ur panty ' ]",angry
"[ ' abt me ' , ' can you be more specific ? ' , ' i want to propose a girl ' ]",others
"[ ' crazy ' , ' you know what it is ' , ' you explain me that ' ]",others
"[ ' goa in india ' , ' city ? <repeated> mean state right ? ' , ' no i never go for there ' ]",others
"[ ' that was mean ' , ' haha the truth usually is . : thumbsup :', ' are you bored of me ? ' ]",others
"[ ' yes <happy> ' , ' now happy ? <happy> ' , ' haha yes ofcorse <wink> ' ]",happy
"[ "" i do not no "" , ' you just said you did ! ' , ' what ' ]",others
"[ ' send me your nekde pic ' , ' after this battle , sure <laugh> ' , "" let us start "" ]",others
"[ "" ok friend ' s "" , ' <allcaps> ya ya very good friend </allcaps> ' , ' very nice friends ' ]",happy
"[ ' she is ignoring me ' , ' no im not ignore you ' , ' : sob : : sob : : sob :']",sad
"[ ' happy ' , "" i am never happy . but i am almost happy . "" , ' hij to the top ' ]",happy
"[ ' nothing ' , "" i am just being nice to you . "" , ' in ur school ? ' ]",others
"[ ' not sure ' , ' let me know ! ' , ' pls you tell ' ]",others
"[ ' i like your positive approach ' , ' no problem , glad to help ' , ' : grinning : : grinning :']",others
"[ ' you tell me ' , ' tell you what ? ' , ' my name ' ]",others
"[ ' hmm <elongated> ' , ' i can talk now ! <laugh> ' , "" u do not know what hppnd "" ]",others
"[ ' what i did ? ' , "" you did not asmita , see my answer "" , ' : joy : : joy :']",happy
"[ ' about ? ' , "" i never said that it ' s freezing . "" , "" ya you did not "" ]",others
"[ "" and i do not know wtf are you talking "" , ' gonna explain you later . ! <repeated> ' , ' no do it now ' ]",angry
"[ ' so teach me ' , "" i am the student . "" , ' realky ' ]",others
"[ ' ready ' , "" i am online now , will wait for you . "" , ' wat about the chilling part ? ' ]",others
"[ ' haha jock super ' , ' er what ? ' , ' nothing else ' ]",others
"[ ' what it is ? ' , ' formulation would be tablets . ' , ' from where tablets come into picture ? ' ]",others
"[ ' are you ticklish ? ' , ' yes , mostly on my feet . ' , ' where are you ticklish ? ' ]",others
